Church Name,County,Denomination,Location
St. John's,Abbeville,A.M.E.,
St. John's,Abbeville,A.M.E.,
St. Luke,Abbeville,C.M.E.,
St. Mary,Abbeville,Negro Baptist,
St. Peter,Abbeville,A.M.E.,
Salem,Abbeville,Negro Baptist,
Salem,Abbeville,Negro Baptist,
Shady Grove,Abbeville,A.M.E.,
Sharon,Abbeville,M.E.S.,
Shiloh,Abbeville,Methodist,
Smyrna,Abbeville,M.E.,
Southside,Abbeville,S.B.C.,
Springfield,Abbeville,Negro Baptist,
Springfield,Abbeville,Negro Baptist,
Tabernacle,Abbeville,A.M.E.,
Trinity,Abbeville,Episcopal,
Union,Abbeville,Negro Baptist,
Upper Long Cane,Abbeville,Presbyterian,
Walnut Grove,Abbeville,Negro Baptist,
Warrenton,Abbeville,Presbyterian,
Washington Street,Abbeville,Presbyterian (Negro),
Wilson Creek Negro Baptist #2,Abbeville,Negro Baptist,
Zion,Abbeville,Fire Baptized Holiness Church of God of America (Negro),
"St. John's M.E.S., Aiken",Aiken,M.E.S.,
Aiken First Baptist (formerly Treadway S.B.C.),Aiken,Baptist,
Aiken,Aiken,Presbyterian,
"Adeth Jeshurun Jewish Congregation, Aiken",Aiken,Jewish Congregation,
"St. Paul's Ev. Lutheran, Aiken",Aiken,Ev. Lutheran,
"St. Thaddeus Episcopal, Aiken",Aiken,Episcopal,
Bell Grove,Aiken,Negro Baptist,
Springfield,Aiken,Negro Baptist,
Mt. Sinai,Aiken,Negro Baptist,
"Church of God, Holiness",Aiken,"Church of God, Holiness",Langley
"Church of God, Holiness",Aiken,"Church of God, Holiness",Warrenville
Eureka,Aiken,S.B.C.,
Shiloh,Aiken,S.B.C.,
Vaucluse,Aiken,S.B.C.,
Vaucluse,Aiken,M.E.S,
Friendship,Aiken,Negro Baptist,Aiken
Cumberland,Aiken,A.M.E.,
Union,Aiken,Negro Baptist,
Randol Branch,Aiken,Negro Baptist,
Zion Hill,Aiken,Negro Baptist,
Mt. Calvary,Aiken,Ev. Lutheran,
Union,Aiken,Negro Baptist,
Antioch,Aiken,Negro Baptist,Vaucluse
Jerusalem,Aiken,Negro Baptist,
Beaver Dam,Aiken,Negro Baptist,
Mt. Pleasant,Aiken,S.B.C.,
St. Luke,Aiken,A.M.E.,Vaucluse
Rocky Grove,Aiken,S.B.C.,
Wagner,Aiken,S.B.C.,Wagner
Mt. Ebal,Aiken,S.B.C.,
Mt. Pleasant,Aiken,S.B.C.,
St. Mary's,Allendale,Roman Catholic,
Allendale First,Allendale,S.B.C.,
Swallow Savannah,Allendale,M.E.S.,
Smyrna,Allendale,S.B.C.,
Happy Home,Allendale,Negro Baptist,Allendale
Allendale,Allendale,Presbyterian,
Bethlehem,Allendale,S.B.C.,Fairfax
Lower Three Runs,Allendale,S.B.C.,
Mt. Arnold,Allendale,S.B.C.,
Paul's Chapel,Allendale,Negro Baptist,Ulmers
Sycamore,Allendale,S.B.C.,Sycamore
St. John's,Allendale,Holiness Church of God (Negro),
St. John's,Allendale,Negro Baptist,Sycamore
Mt. Calvary,Allendale,Negro Baptist,
Miller Swamp,Allendale,Negro Baptist,
New Zion,Allendale,Negro Baptist,Seigling
Rock Hill,Allendale,Disciples of Christ (Negro),Sycamore
Virgin Mary,Allendale,Negro Baptist,
Irvington,Allendale,Negro Baptist,
St. Nicholas',Allendale,United Evangelical Lutheran,
Bethel,Allendale,S.B.C.,
Harmony,Allendale,S.B.C.,
Mt. Pleasant,Allendale,Primitive Baptist,
Antioch,Allendale,Disciples of Christ,
Galilee,Allendale,Negro Baptist,Appleton
Beulah,Allendale,Negro Baptist,Baldock
Bentley,Allendale,A.M.E.,Appleton
New Hope,Allendale,Negro M.E.,
Allen Chapel,Allendale,A.M.E.,
Second Calvary,Allendale,Negro Baptist,
Seigling,Allendale,C.M.E.,Seigling
Great Salkehatchie,Allendale,S.B.C.,Ulmers
Beautiful Gate,Allendale,Negro Baptist,
St. Mark,Allendale,Negro Baptist,
Holy Communion,Allendale,Episcopal,Allendale
Sandy Springs,Anderson,M.E.S.,Sandy Springs
Mt. Zion,Anderson,Presbyterian,
Mt. Bethel,Anderson,S.B.C.,
Diamond Hill,Anderson,A.R.P.,
Concord,Anderson,A.R.P.,
Hopewell,Anderson,Presbyterian,Pendleton
Midway,Anderson,Presbyterian,
First,Anderson,Presbyterian,Anderson
Roberts,Anderson,Presbyterian,
"Church of God, Holiness",Anderson,"Church of God, Holiness",Anderson
Anderson,Anderson,A.R.P.,
Bethel,Anderson,M.E.S.,Anderson
Riverside,Anderson,S.B.C.,Anderson
Gluck Mill,Anderson,M.E.S.,Anderson
Gluck Mill,Anderson,S.B.C.,Anderson
Holy Trinity,Anderson,(Kreps Memorial) Lutheran,Anderson
Anderson Second,Anderson,S.B.C.,Anderson
Concord,Anderson,S.B.C.,
L.D.S.,Anderson,(Mormon),Anderson
Pentecostal Fire Baptist Holiness,Anderson,Pentecostal Fire Baptist Holiness,Anderson
New Hope,Anderson,M.E.S.,
Smith's Chapel,Anderson,M.E.S.,
St. John's,Anderson,M.E.S.,Anderson
New Prospect,Anderson,S.B.C.,
Oakwood,Anderson,S.B.C.,Anderson
Verennes,Anderson,Presbyterian,
St. Paul's,Anderson,Episcopal,Anderson
Trinity,Anderson,M.E.S.,
Toxaway,Anderson,M.E.S.,
Refuge,Anderson,S.B.C.,
Pendleton,Anderson,S.B.C.,
Lebanon,Anderson,S.B.C.,
Salem,Anderson,S.B.C.,
Mt. Tabor,Anderson,S.B.C.,
Sharon,Anderson,M.E.S.,
Zion,Anderson,M.E.S.,
Orrville,Anderson,M.E.S.,Anderson
Orrville,Anderson,S.B.C.,Anderson
King David,Anderson,Negro Baptist,
New Prospect,Anderson,Negro Baptist,
Six and Twenty,Anderson,S.B.C.,
Pendleton,Anderson,S.B.C.,Pendleton
"Church of God, Holiness",Anderson,"Church of God, Holiness",LaF_rance
LaF_rance ship,Anderson,S.B.C.,
LaFrance,Anderson,,
White Field,Anderson,S.B.C.,
Eureka,Anderson,S.B.C.,
Friend,Anderson,S.B.C.,
Pendleton,Anderson,M.E.S.,Pendleton
Welfare,Anderson,Negro Baptist,
Mountain Springs,Anderson,Negro Baptist,Anderson
Deep Creek,Anderson,M.E. (Negro),
Bethesda,Anderson,M.E.S.,
Mt. Airy,Anderson,S.B.C.,
Neal's Creek,Anderson,S.B.C.,
Shiloh,Anderson,M.E.S.,
Wesley Chapel,Anderson,M.E.S.,
Union Grove,Anderson,M.E.S.,Anderson
Dorchester,Anderson,S.B.C.,
Beulah,Anderson,M.E.S.,
White Plains,Anderson,S.B.C.,Anderson
Belton First,Anderson,S.B.C.,Belton
Belton,Anderson,M.E.S.,Belton
Shady Grove,Anderson,S.B.C.,
Belton,Anderson,Presbyterian,Belton
Mt. Pisgah,Anderson,S.B.C.,
Beaverdam,Anderson,S.B.C.,
Corinth First,Anderson,S.B.C.,
Friendship,Anderson,S.B.C.,
Fairview,Anderson,Methodist Protestant,
Cedar Grove S.B.C. New Hope,Anderson,Missionary Baptist (Negro),
New Hopewell,Anderson,Missionary Baptist (Negro),
B'Nai Israel Orthodox &,Anderson,Reform Jewish Congregation,Anderson
Church of God,Anderson,Church of God,Honea Path
Chignola,Anderson,S.B.C.,Honea Path
Honea Path,Anderson,S.B.C.,Honea Path
Trinity,Anderson,M.E.S.,Honea Path
Chignola,Anderson,M.E.S.,Honea Path
Big Creek,Anderson,S.B.C.,Williamston
"Church of God, Holiness",Anderson,"Church of God, Holiness","at Kelley's Crossing, Williamston"
Williamston First,Anderson,S.B.C.,Williamston
Williamston,Anderson,Presbyterian,Williamston
Williamston Second,Anderson,S.B.C.,Williamston
Wesley,Anderson,Methodist (Wesleyan Methodist),Williamston
Piedmont,Anderson,Presbyterian,Piedmont
Wesleyan Methodist Church (Wesleyan Methodist),Anderson,Wesleyan Methodist,Piedmont
Williamston Mill,Anderson,Methodist,Williamston
Grace,Anderson,Methodist,Williamston
Tabernacle,Anderson,S.B.C.,Pelzer
Wesleyan Methodist,Anderson,Wesleyan Methodist,Pelzer
Victoria,Anderson,Holiness,Williamston
Anderson First,Anderson,S.B.C.,Pelzer
Pelzer,Anderson,Presbyterian,Pelzer
Anderson,Anderson,Methodist,Pelzer
"Church of God, Holiness",Anderson,"Church of God, Holiness",Pelzer
"Church of God, Holiness",Anderson,"Church of God, Holiness",West Pelzer
Brown-Salem M.E. Belton,Anderson,,
Holiness,Anderson,Holiness,Belton
Bethlehem,Anderson,A.M.E.,Belton
Springfield,Anderson,Negro Baptist,Belton
New Broadmouth,Anderson,Negro Baptist,
St. James,Anderson,M.E. (Negro),
Liberty,Anderson,Negro Baptist,Honea Path
Mt. Zion,Anderson,Negro Baptist,Belton
St. Paul,Anderson,C.M.E.,Honea Path
Bethel,Anderson,M.E. (Negro),Williamston
New Prospect,Anderson,Negro Baptist,Williamston
Pleasant Hill,Anderson,Negro Baptist,
Cedar Grove,Anderson,Baptist,
Wesleyan Methodist,Anderson,Wesleyan Methodist,Iva
Grove,Anderson,A.R.P.,
Barker's Creek,Anderson,S.B.C.,
Honea Path,Anderson,Presbyterian,Honea Path
Starr,Anderson,S.B.C.,Starr
Martin Grove,Anderson,Fire Baptized Holiness,
Poplar Springs,Anderson,S.B.C.,
Good Hope,Anderson,Presbyterian,Ira
Ira,Anderson,Pentecostal Holiness,Ira
Ira,Anderson,S.B.C.,Ira
Good Hope,Anderson,S.B.C.,
Good Will,Anderson,C.M.E.,Starr
St. Paul,Anderson,A.M.E.,Ira
Cross Roads,Anderson,C.M.E.,
Mountain View C.M.E. Shiloh,Anderson,Negro Baptist,
Bethlehem,Anderson,C.M.E.,
Generostes,Anderson,A.R.P.,
Triangle,Anderson,S.B.C.,
Flat Rock,Anderson,S.B.C.,
Flat Rock,Anderson,Presbyterian,
Ira,Anderson,A.R.P.,Ira
New Bethlehem,Anderson,Methodist,
Double Springs,Anderson,S.B.C.,
Pleasant Grove,Anderson,Negro Baptist,
Jefferson Chapel,Anderson,A.M.E.,
Providence,Anderson,Methodist,
Bethel,Anderson,Methodist,Ira
Ruhamah,Anderson,Methodist,
Mt. Sinai,Anderson,Methodist (Negro),
New Harmony,Anderson,Methodist (Negro),
Mt. Olive,Anderson,Negro Baptist,
Springfield,Anderson,Methodist (Negro),
Mt. Moriah,Anderson,Negro Baptist,
Mountain Creek,Anderson,S.B.C.,
Union,Anderson,S.B.C.,
Liberty,Anderson,S.B.C.,
Fellowship,Anderson,S.B.C.,
Hebron,Anderson,Methodist,
Fellowship,Anderson,Wesleyan Methodist,
New Bethlehem,Anderson,Lutheran,Townville
Mt. Herman,Anderson,Negro Baptist,
Generostee,Anderson,Negro Baptist,
Evergreen,Anderson,M.E. (Negro),
McNeely,Anderson,Holiness,
Oakdale,Anderson,Baptist,
Wilson's Creek Negro Baptist No. 1,Anderson,Negro Baptist,
Pleasant View,Anderson,Negro Baptist,
New Mt. Pisgah,Anderson,Negro Baptist,
Fairfield,Anderson,C.M.E.,
Evergreen,Anderson,Negro Baptist,
Salem,Anderson,Negro Baptist,
St. Peter,Anderson,A.M.E.,
Mt. Sinai,Anderson,A.M.E.,
Mt. Abel,Anderson,Negro Baptist,
New Light,Anderson,Negro Baptist,
Holly Springs,Anderson,Negro Baptist,
Oak View,Anderson,Negro Baptist,
Holly Creek,Anderson,Negro Baptist,
Shiloh S.B.C. (also known as Shockley's Ferry,Anderson,Baptist,Big Generostee Baptist)
Carswell,Anderson,S.B.C.,
Barnett's Grove,Anderson,Fire Baptized Holiness,
Oak Grove,Anderson,S.B.C.,
Guthrie Grove Church of God of Abrahamic Faith,Anderson,,
New Hope,Anderson,S.B.C.,
King's Chapel,Anderson,A.M.E.,Pendleton
Welcome,Anderson,S.B.C.,
North Side,Anderson,S.B.C.,Anderson
St. Joseph,Anderson,Catholic,Anderson
Sunset Forest,Anderson,Negro Baptist,
Sweet Canaan,Anderson,Negro Baptist,
Bethel,Anderson,Methodist (Negro),Pendleton
New Mt. Grove,Anderson,Baptist,
Wilson Calvary,Anderson,Negro Baptist,Anderson
Rock Hill,Anderson,Negro Baptist,
New Prospect Negro Baptist No. 2,Anderson,Negro Baptist,
Fair View,Anderson,A.M.E.,
Ebenezer,Anderson,Negro Baptist,
Townville,Anderson,S.B.C.,Townville
Bethany,Anderson,S.B.C.,
Starr,Anderson,Methodist,Starr
Asbury,Anderson,Methodist,
Pine Grove,Anderson,Baptist,
Long Branch,Anderson,S.B.C.,
Thompson Centennial,Anderson,Methodist (Negro),Anderson
Salem,Anderson,Presbyterian (Negro),Anderson
St. James,Bamberg,M.E.S.,Erhardt
Erhardt,Bamberg,S.B.C.,Erhardt
Erhardt Memorial,Bamberg,United Evangelical Lutheran,Erhardt
First,Bamberg,Christian (Disciples of Christ. Negro.),Erhardt
Bamberg,Bamberg,Presbyterian,Bamberg
Bamberg,Bamberg,Pentecostal Holiness,Bamberg
Savannah Creek,Bamberg,Negro Baptist,Erhardt
Bamberg,Bamberg,S.B.C.,Bamberg
Trinity,Bamberg,M.E.S.,Bamberg
Mt. Carmel,Bamberg,Methodist,Bamberg
Thankful,Bamberg,Negro Baptist,Bamberg
Denmark,Bamberg,Presbyterian,Denmark
Bethel Park,Bamberg,M.E.S,Denmark
Bethel,Bamberg,M.E.S.,Olar
Ghents Branch,Bamberg,S.B.C.,
Denmark,Bamberg,S.B.C.,Denmark
Bethel,Bamberg,A.M.E.,Denmark
Central,Bamberg,Negro Baptist,Denmark
Rome,Bamberg,Negro Baptist,Denmark
Franklin,Bamberg,M.E. (Negro),Denmark
Govan,Bamberg,S.B.C.,Govan
South Side,Bamberg,M.E.S.,Bamberg
Colston Branch,Bamberg,S.B.C.,
Mt. Herman,Bamberg,Negro Baptist,
St. John's,Bamberg,Negro Baptist,Bamberg
Ebenezer,Bamberg,C.M.E.,
Springtown,Bamberg,Negro Baptist,
Mizpah,Bamberg,M.E.S.,
Salem,Bamberg,M.E.S.,
Kearse's Chapel,Bamberg,M.E.S.,
Barnwell,Barnwell,Presbyterian,Barnwell
Barnwell,Barnwell,M.E.S.,Barnwell
Church of the Holy Apostles,Barnwell,Episcopal,Barnwell
Barnwell,Barnwell,S.B.C.,Barnwell
St. Andrew's,Barnwell,Roman Catholic,Barnwell
Baptist Church of Beaufort,Beaufort,(S.B.C.),Beaufort
Beaufort First,Beaufort,Presbyterian,Beaufort
Berean,Beaufort,Presbyterian (Negro),Beaufort
Beth Israel,Beaufort,Jewish Congregation,Beaufort
Carteret Street,Beaufort,M.E.S.,Beaufort
Central,Beaufort,Negro Baptist,Beaufort
Church of the Living God Pillar & Ground Truth,Beaufort,Sanctified,Beaufort
First,Beaufort,African Negro Baptist,Beaufort
Grace Chapel,Beaufort,A.M.E.,Beaufort
Lebeco,Beaufort,M.E.S.,Lebeco
C.M.E.,Beaufort,C.M.E.,Beaufort
St. Helena's Island Chapel of Ease,Beaufort,(Episcopal),
St. Andrew's,Beaufort,Roman Catholic,Pritchardville
St. Anthony's,Beaufort,Roman Catholic,Hardeeville
St. Helena's,Beaufort,Episcopal,Beaufort
St. Peter's,Beaufort,Roman Catholic,Beaufort
"Sheldon Church (""Burnt Church"") of Prince William's Parish",Beaufort,,Sheldon Township
Apii,Berkeley,Methodist Episcopal,South
Berea,Berkeley,M.E.S.,
Bethel,Berkeley,Negro M.E.,
Bethlehem,Berkeley,Negro Methodist Protestant,
Black Creek,Berkeley,M.E.S.,
Bonneau,Berkeley,Missionary Baptist,
Chapel of Our Saviour,Berkeley,,Mt. Holly
Christian Church (Disciples of Christ),Berkeley,Christian,St. Stephens
Church of Jesus Christ of Latter-Day Saints,Berkeley,Church of Jesus Christ of Latter-Day Saints,
Bethera Cordesville,Berkeley,Southern Baptist,
Day Dawn,Berkeley,Negro Missionary Baptist,Pineville
Ebenezer,Berkeley,M.E.S.,
Ebenezer,Berkeley,African Methodist Episcopal,
Emanuel,Berkeley,A.M.E.,Monck's Corner
Emanuel,Berkeley,Reformed Episcopal,
Epiphany,Berkeley,Protestant Episcopal,Eutawville
Firstborn Church of the Living God,Berkeley,Holiness,
Grace,Berkeley,Reformed Episcopal,
Green Hill,Berkeley,A.M.E.,Bonneau
Greenland,Berkeley,Negro Missionary Baptist,
Good Shepherd,Berkeley,Reformed Episcopal,
Grove Hall,Berkeley,A.M.E.,
Grove Hall,Berkeley,Holiness (Negro),
Holy Comforter,Berkeley,Reformed Episcopal,Monck's Corner
Irving Chapel,Berkeley,A.M.E.,Monck's Corner
Jamestown,Berkeley,Missionary Baptist,
Jehovah,Berkeley,A.M.E.,
Jehovah,Berkeley,Negro Baptist,St. Stephens
Jerusalem,Berkeley,A.M.E.,
Jerusalem,Berkeley,Missionary Baptist,Jamestown
Jerusalem,Berkeley,Missionary Baptist,
Lebanon,Berkeley,M.E.S.,
Liberty,Berkeley,Reformed Episcopal,
Macedonia,Berkeley,Christian,
Messiah,Berkeley,Reformed Episcopal,
Moncks Corner Christian (Disciples of Christ,Berkeley,,
Moncks Corner,Berkeley,M.E.S.,
Moncks Corner Missionary Baptist Moncks Corner,Berkeley,Negro Missionary Baptist,
Mt. Olivet,Berkeley,Missionary Baptist,Pinopolis
Mt. Pisgah,Berkeley,A.M.E.,
New Hope,Berkeley,A.M.E.,
Oak Grove,Berkeley,Negro M.E.,
Oak Grove,Berkeley,Pentecostal Holiness,
Pineville,Berkeley,M.E.S.,
Pompoin Hill,Berkeley,Protestant Episcopal,
Reconciliation,Berkeley,Reformed Episcopal,
Redeemer,Berkeley,Negro Protestant Episcopal,Pineville
Redeemer,Berkeley,Reformed Episcopal,Pineville
Rehobeth,Berkeley,M.E.S.,McBeth
Russellville,Berkeley,Christian (Disciples of Christ),
St. James,Berkeley,M.E.S.,
St. John,Berkeley,(Strawberry Chapel) Protestant Episcopal,
St. John's Berkeley,Berkeley,Protestant Episcopal (Biggin Church),
St. Luke's,Berkeley,A.M.E.,
St. Luke,Berkeley,Negro M.E.,Moncks Corner
St. Mark,Berkeley,A.M.E.,
St. Mary's,Berkeley,A.M.E.,
St. Matthew,Berkeley,A.M.E.,
St. Matthew's,Berkeley,Negro Baptist,
St. Michael's,Berkeley,Reformed Episcopal,St. Stephens
St. Paul,Berkeley,Negro M.E.,St. Stephens
St. Philip's,Berkeley,Reformed Episcopal,
St. Stephens,Berkeley,M.E.S.,St. Stephens
St. Stephens,Berkeley,Negro Baptist,
St. Stephens,Berkeley,Protestant Episcopal,St. Stephens
St. Stephens,Berkeley,S.B.C.,
St. Thomas & St. Denis,Berkeley,Protestant Episcopal,Cainhoy
Sand Ridge,Berkeley,S.B.C.,
Smith Chapel,Berkeley,C.M.E.,
Smyrna,Berkeley,M.E.S.,
Solomon Temple,Berkeley,M.E.,Moncks Corner
Spring Hill,Berkeley,M.E.S.,
Sumter Class Room,Berkeley,Negro M.E.,
Taveau,Berkeley,Negro M.E.,
Trinity Chapel,Berkeley,Protestant Episcopal,Pinopolis
Trinity,Berkeley,Protestant Episcopal,
Unity,Berkeley,Negro Missionary Baptist,
Wassamassaw,Berkeley,Missionary Baptist,
Zion,Berkeley,A.M.E.,
Zion,Berkeley,Negro M.E.,St. Stephens
St. Paul,Calhoun,A.M.E.,Creston
Mt. Zion,Calhoun,M.E.S.,
Mt. Pisgah,Calhoun,A.M.E.,
Beulah,Calhoun,M.E.S.,Sandy Run
Fort Motte,Calhoun,M.E.S.,Fort Motte
St. Paul,Calhoun,M.E.S.,St. Matthews
St. Matthews,Calhoun,Protestant Episcopal,
Sandy Run,Calhoun,United Evangelical Lutheran,
Congaree,Calhoun,Missionary Baptist,
Mt. Zion,Calhoun,A.M.E.,
Pine River,Calhoun,United Evangelical Lutheran,Lone Star
Cameron,Calhoun,Missionary Baptist,Cameron
Cameron,Calhoun,M.E.S.,Cameron
Church of the Resurrection,Calhoun,Evangelical Lutheran,Cameron
St. John,Calhoun,Negro Baptist,
Brown's Chapel,Calhoun,Negro Baptist,
New Bethany,Calhoun,Negro Baptist,
Mt. Pleasant,Calhoun,Negro Baptist,
St. Mark's,Calhoun,Negro Baptist,
Cedar Grove,Calhoun,Negro Baptist,Lone Star
Union,Calhoun,A.M.E.,
Hayne's Chapel,Calhoun,A.M.E.,Lone Star
St. Peter's,Calhoun,A.M.E.,Cameron
Bethel,Calhoun,A.M.E.,St. Matthews
St. Matthews,Calhoun,Negro Baptist,St. Matthews
Friendship,Calhoun,Negro Baptist,St. Matthews
Mt. Carmel,Calhoun,Negro Baptist,
Mispah,Calhoun,Missionary Baptist,
Providence,Calhoun,Missionary Baptist,
Shady Grove,Calhoun,M.E.S.,
Andrews Chapel,Calhoun,M.E.S.,
Jericho,Calhoun,M.E.S.,
Canaan,Calhoun,A.M.E.,
St. Peter,Calhoun,A.M.E.,
Shiloh,Calhoun,Negro Baptist,
Providence,Calhoun,A.M.E.,
Mt. Zion,Calhoun,Negro Baptist,Fort Motte
Gethsemane,Calhoun,Missionary Baptist,
Ebenezer,Calhoun,A.M.E.,
St. Matthews First,Calhoun,S.B.C.,St. Matthews
Emancipation,Calhoun,Negro Baptist,Riley
St. Matthews,Calhoun,Presbyterian,St. Matthews
St. Matthews,Calhoun,Evangelical Lutheran,St. Matthews
Epiphany,Calhoun,Evangelical Lutheran,St. Matthews
Bethlehem,Calhoun,Negro M.E.,St. Matthews
St. Luke's,Calhoun,A.M.E.,
Fort Motte,Calhoun,Presbyterian,
Wesley Chapel,Calhoun,M.E.S.,
Heyward,Calhoun,A.M.E.,
Bethel,Calhoun,M.E.S.,
St. Luke,Calhoun,A.M.E.,
Mt. Nebo,Calhoun,Negro Presbyterian,
Calvary,Charleston,Protestant Episcopal (Negro),
Ebenezer,Charleston,A.M.E.,Charleston
Hebron,Charleston,Presbyterian (Negro),John's Island
Promise Land,Charleston,Reformed Episcopal,John's Island
Plymouth,Charleston,Congregational (Negro),Charleston
Edisto Island,Charleston,Presbyterian,Edisto Island
Gethsemane,Charleston,Negro Baptist,Charleston
King Street,Charleston,S.B.C.,
Church of God-Holiness (Negro),Charleston,Church of God-Holiness (Negro),Charleston
Jerusalem,Charleston,A.M.E.,Wadmalaw Island
Calvary,Charleston,S.B.C.,Meggett
First,Charleston,Christian,Charleston
Edisto Island,Charleston,Presbyterian (Negro),Edisto Island
Union,Charleston,Negro Missionary Baptist,Charleston
Mt. Zion,Charleston,A.M.E.,Charleston
Holy Communion,Charleston,Protestant Episcopal,Charleston
Zion,Charleston,Presbyterian (Negro),Charleston
Shiloh,Charleston,Negro Missionary Baptist,Edisto Island
Westminster,Charleston,Presbyterian,Charleston
Macedonia,Charleston,A.M.E.,Charleston
Centenary,Charleston,Negro M.E.,Charleston
Morris Brown,Charleston,A.M.E.,Charleston
Bethel,Charleston,M.E.S.,Charleston
Wallingford,Charleston,Presbyterian,Charleston
Olivet,Charleston,Presbyterian (Negro),Charleston
Israel,Charleston,Reformed Episcopal,Charleston
Rutledge Street,Charleston,S.B.C.,Charleston
Refuge Church of Our Lord Jesus Christ-Apostolic Faith Charleston,Charleston,,
Trinity,Charleston,M.E.S.,Charleston
Mt. Hermon Reformed Methodist Union,Charleston,Episcopal,Charleston
Francis Brown,Charleston,Methodist Protestant (Negro),Charleston
Emanuel,Charleston,A.M.E.,Charleston
Jordan,Charleston,Negro Missionary Baptist,
Lovely Hill,Charleston,Negro Missionary Baptist,
Jerusalem,Charleston,A.M.E.,Maryville
Emanuel,Charleston,A.M.E.,Maryland
Cherokee,Charleston,M.E.S.,Charleston
Payne Chapel,Charleston,A.M.E.,
James Isley,Charleston,Negro M.E.,Charleston
Midland Park,Charleston,M.E.S.,North Charleston
Asbury Memorial,Charleston,M.E.S.,Charleston
Vanderhorst Memorial,Charleston,C.M.E.,Charleston
Rockville,Charleston,Presbyterian,Rockville
James Island,Charleston,Presbyterian,James Island
Morris Street,Charleston,Negro Baptist,Charleston
Calvary,Charleston,Negro Baptist,Charleston
Pilgrim,Charleston,Negro Baptist,
Mt. Moriah,Charleston,Negro Baptist,
John's Island,Charleston,S.B.C.,John's Island
Jerusalem,Charleston,Negro Baptist,
Mt. Olivet,Charleston,Negro Baptist,
North Charleston,Charleston,S.B.C.,North Charleston
First,Charleston,Negro Missionary Baptist,Maryville
James Island,Charleston,Negro Baptist,James Island
Charleston Heights,Charleston,S.B.C.,Charleston
Oak Grove,Charleston,Negro Baptist,
Hampstead Square,Charleston,S.B.C.,Charleston
Holy Trinity,Charleston,Reformed Episcopal,Charleston
Christ Church,Charleston,Protestant Episcopal,Wilton-Adams Run
Church of the Good Shepherd,Charleston,Protestant Episcopal,North Charleston
Calvary,Charleston,Pentecostal-Assembly of God,Charleston
Fourth,Charleston,Negro Missionary Baptist,Charleston
Wesley,Charleston,Negro M.E.,John's Island
Bethel,Charleston,Negro M.E.,Charleston
Bethel,Charleston,A.M.E.,
Citadel Square,Charleston,S.B.C.,Charleston
Grace,Charleston,Protestant Episcopal,Charleston
Circular,Charleston,Congregational,Charleston
French Protestant (Huguenot),Charleston,,Charleston
